album_id,album_name,release_date,total_track,album_type,album_url
1R2c2m3RyaexUtRCtyj3OA,Wakil Rakyat,1987-01-08,10,album,https://open.spotify.com/album/1R2c2m3RyaexUtRCtyj3OA
0vDyJF7qUFxEk4bc3jbnL6,Celoteh - Celoteh,1990-01-08,20,album,https://open.spotify.com/album/0vDyJF7qUFxEk4bc3jbnL6
2apPrCSE1LCLyUt11pUUBS,Lagu Terpopuler Iwan Fals (Vol. 1),1990-08-01,11,album,https://open.spotify.com/album/2apPrCSE1LCLyUt11pUUBS
4EneY8crCrt61L7siIXtkS,Seperti Seharusnya,2012-01-01,10,album,https://open.spotify.com/album/4EneY8crCrt61L7siIXtkS
2GKTEV4wdVmeVhNpyHeDav,Bintang di Surga,2022-10-01,8,album,https://open.spotify.com/album/2GKTEV4wdVmeVhNpyHeDav
5gDL99IQ3ZnsrbuhgI7dc1,Taman Langit,2021-12-01,11,album,https://open.spotify.com/album/5gDL99IQ3ZnsrbuhgI7dc1
0uK0wsKPF8JQOBl54F11xI,Hari Yang Cerah,2022-01-26,10,album,https://open.spotify.com/album/0uK0wsKPF8JQOBl54F11xI
5VLB0w8SZ5plWWzi48XiCt,Sings Legends,2016-04-01,9,album,https://open.spotify.com/album/5VLB0w8SZ5plWWzi48XiCt
2HNKo2vMGhc9wON4NDfb04,ASHER,2023-02-02,7,album,https://open.spotify.com/album/2HNKo2vMGhc9wON4NDfb04
4RQqQiwO3kTfzQI7YQfDMg,Everlast,2024-05-24,10,album,https://open.spotify.com/album/4RQqQiwO3kTfzQI7YQfDMg
0eX3aLzEgrPIIo7DMinZqr,Cinta Tak Pernah Tepat Waktu,2024-07-12,1,single,https://open.spotify.com/album/0eX3aLzEgrPIIo7DMinZqr
4Eupz9BkITuFqlHttMeu9K,Aku Memilihmu,2023-07-13,1,single,https://open.spotify.com/album/4Eupz9BkITuFqlHttMeu9K
2zXox2ZOhTd7VSfPErSXKv,Cinta Begini,2024-03-29,1,single,https://open.spotify.com/album/2zXox2ZOhTd7VSfPErSXKv
7MQvEjN92cqRdNUCMOKCPA,Adu Rayu,2019-02-22,1,single,https://open.spotify.com/album/7MQvEjN92cqRdNUCMOKCPA
6Fgc005bO1YPviuAkzyz6S,Yovie and His Friends : IRREPLACEABLE (#takkanterganti),2013-09-24,11,album,https://open.spotify.com/album/6Fgc005bO1YPviuAkzyz6S
58887aaSwwaOePaJQr6NHP,Apa Artinya Aku,2024-12-12,1,single,https://open.spotify.com/album/58887aaSwwaOePaJQr6NHP
3tqFD0rkjl4GNerGRfAA5q,A Portrait Of Yovie,2005-01-01,12,compilation,https://open.spotify.com/album/3tqFD0rkjl4GNerGRfAA5q
3aEQ9agxX7W9hCR5dQi4jy,Bukan Sebuah Rindu,2024-05-09,1,single,https://open.spotify.com/album/3aEQ9agxX7W9hCR5dQi4jy
5LzimGAss58bgBq3CT9uAD,Kemenangan Hati,2007-01-12,14,album,https://open.spotify.com/album/5LzimGAss58bgBq3CT9uAD
7b0PfthjmXQJ0rRX3mYQrA,1000 Kisah Satu Hati,2010-08-18,12,album,https://open.spotify.com/album/7b0PfthjmXQJ0rRX3mYQrA
0JFtcuEuZqdurpqOY65Pva,Untukmu Selamanya,2007-08-06,12,album,https://open.spotify.com/album/0JFtcuEuZqdurpqOY65Pva
6PxHRLYt5tTsX8xSoeRVAt,Melayang,2005-12-07,12,album,https://open.spotify.com/album/6PxHRLYt5tTsX8xSoeRVAt
0ytbwbmAKfailNYPo1NHtG,Penguasa Hati,2009-04-27,12,album,https://open.spotify.com/album/0ytbwbmAKfailNYPo1NHtG
35r1xKaXcraC2IdYImj68h,Bagaimana Kalau Aku Tidak Baik Baik Saja,2021-07-31,1,single,https://open.spotify.com/album/35r1xKaXcraC2IdYImj68h
5rCDvtR73a8KsViwOZz2PF,Setengah Mati Merindu,2010-06-22,10,album,https://open.spotify.com/album/5rCDvtR73a8KsViwOZz2PF
5ePas69moZqjAW6RZU3jhX,Judika Mencari Cinta,2013-05-13,15,album,https://open.spotify.com/album/5ePas69moZqjAW6RZU3jhX
1h2elFGPiDYv69SXWwLjkr,Judika,2017-04-07,10,album,https://open.spotify.com/album/1h2elFGPiDYv69SXWwLjkr
1zqYuKvhLBILR5PZdyAMyW,Putus Atau Terus,2020-09-14,1,single,https://open.spotify.com/album/1zqYuKvhLBILR5PZdyAMyW
4ZPfbut9xkAmk6yQhTQ4rS,Tak Mungkin Bersama,2020-02-29,1,single,https://open.spotify.com/album/4ZPfbut9xkAmk6yQhTQ4rS
7bHm7ZJyEICZEUUWZnF8xu,Cinta Karena Cinta,2019-06-28,1,single,https://open.spotify.com/album/7bHm7ZJyEICZEUUWZnF8xu
6Irfq3zJ8q2tSo4Jipiywo,Hati & Cinta,2015-08-07,13,album,https://open.spotify.com/album/6Irfq3zJ8q2tSo4Jipiywo
2B5g8Dua4wmu7JOnNX9e8K,Perspektif,2018-08-23,3,single,https://open.spotify.com/album/2B5g8Dua4wmu7JOnNX9e8K
0RIVNgA95YzOPDHD4aYbqZ,terima kasih,2022-10-08,1,single,https://open.spotify.com/album/0RIVNgA95YzOPDHD4aYbqZ
0ddQwITyRo8kFAz31jEUul,L (midnight version),2022-01-19,1,single,https://open.spotify.com/album/0ddQwITyRo8kFAz31jEUul
6CtaPOB7FSs2My9MbvV1u8,The Folk: Side A,2022-12-18,3,single,https://open.spotify.com/album/6CtaPOB7FSs2My9MbvV1u8
42kXGntEYx1eU4HDFLaL5m,Bagaimana Bisa Seseorang,2024-07-26,1,single,https://open.spotify.com/album/42kXGntEYx1eU4HDFLaL5m
47zY7uyQnStZjlbqwrn3M3,Malang,2024-03-22,1,single,https://open.spotify.com/album/47zY7uyQnStZjlbqwrn3M3
6J0Q5uAotOjTN5U9w51CTJ,Di Meja Kopian,2021-12-15,1,single,https://open.spotify.com/album/6J0Q5uAotOjTN5U9w51CTJ
4ZoR00UkfBdVlP6RB7vq5A,Yang Terpilih,2006-12-26,14,album,https://open.spotify.com/album/4ZoR00UkfBdVlP6RB7vq5A
0xA0QM3piWiMF22mqRVT6U,A New Chapter,2017-04-05,9,album,https://open.spotify.com/album/0xA0QM3piWiMF22mqRVT6U
6fr7fkitqzxiVfe6d6oCGQ,Kembali,2004-12-24,10,album,https://open.spotify.com/album/6fr7fkitqzxiVfe6d6oCGQ
